Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
1COV,1COV.DE,Covestro AG,Eurostoxx,Basic Materials,Specialty Chemicals,Germany,1.043,2024,2024-12-31,-39.61702170946919,-0.039951937518774405,-0.01951434230797447,0.46530489636527483,-1.41,55.86000061035156,-266000000.0,14179000000.0,6658000000.0,13631000000.0,3098000000.0,,164471136.0
1COV,1COV.DE,Covestro AG,Eurostoxx,Basic Materials,Specialty Chemicals,Germany,1.043,2023,2023-12-31,-49.86666724795387,-0.030045523520485583,-0.014519322431619857,0.5144157814871017,-1.05,52.36000061035156,-198000000.0,14377000000.0,6590000000.0,13637000000.0,3390000000.0,,275342972.0
1COV,1COV.DE,Covestro AG,Eurostoxx,Basic Materials,Specialty Chemicals,Germany,1.043,2022,2022-12-31,-26.943660789812117,-0.03838554896979961,-0.018649297223174495,0.5159469376234829,-1.42,38.2599983215332,-272000000.0,17968000000.0,7086000000.0,14585000000.0,3656000000.0,3.4,302741145.0
1COV,1COV.DE,Covestro AG,Eurostoxx,Basic Materials,Specialty Chemicals,Germany,1.043,2021,2021-12-31,6.082379832205095,0.20997920997921,0.10378267291760324,0.3284823284823285,8.37,50.90951919555664,1616000000.0,15903000000.0,7696000000.0,15571000000.0,2528000000.0,1.3,225463191.0
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2024,2024-12-31,9.787151242090651,0.03491385746894061,0.026169998719568693,0.06776518427232166,1.21,11.842453002929688,212764000.0,4064254000.0,6093970000.0,8130073000.0,412959000.0,0.05,13964157.0
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2023,2023-12-31,10.173240320642567,0.053498563123208574,0.040689605811449835,0.032020490994337764,1.79,18.210100173950195,314950000.0,4096701000.0,5887074000.0,7740306000.0,188507000.0,0.05,24756042.0
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2022,2022-12-31,5.559619114949153,0.06583126651816781,0.05061646652891622,0.018399986666286727,2.08,11.564007759094238,367328000.0,3963691000.0,5579841000.0,7257085000.0,102669000.0,0.05,16834294.0
1U1,1U1.DE,1&1 DrillischAktiengesellschaft,Eurostoxx,Communication Services,Telecom Services,Germany,0.41,2021,2021-12-31,11.360339210146948,0.07089629236352461,0.05238337252414801,0.019597827330275267,2.1,23.856712341308594,370022000.0,3909659000.0,5219201000.0,7063730000.0,102285000.0,0.05,35484791.0
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,2024,2024-12-31,7.585835777930232,0.15867768595041323,0.0434301799537549,1.3355371900826447,0.275782,2.0920369625091553,864000000.0,12635000000.0,5445000000.0,19894000000.0,7272000000.0,0.0958,2719593652.0
A2A,A2A.MI,A2A Spa,Eurostoxx,Utilities,Utilities - Diversified,Italy,0.944,2023,2023-12-31,8.009521805746449,0.1554245283018868,0.03505692094903713,1.497877358490566,0.2101,1.682800531387329,659000000.0,14630000000.0,4240000000.0,18798000000.0,6351000000.0,0.0904,2497975517.0
